symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
RVNL,68793,64950,3843,5.92,19518,29090.67307,5621630823,30111.5313,1020.85823,270
OFSS,37605,35555,2050,5.77,100234,43642.49602,69187703677,55367.8503,11725.35427,9675
TVSMOTOR,90624,85710,4914,5.73,94648,67809.17113,50020689272,72835.92386,5026.75272,3286
PAYTM,42430,40189,2241,5.58,30124,48990.21859,20061052644,52052.09253,3061.87394,1120
KOTAKBANK,136523,129376,7147,5.52,56164,111611.4078,32921504560,115595.7034,3984.2956,382
RELIANCE,482731,458002,24729,5.4,524085,192412.38415,333762351240,217781.94655,25369.5624,1322
MANAPPURAM,27888,26478,1410,5.33,15472,29176.8408,11834368200,30825.3228,1648.482,316
NAM-INDIA,10873,10325,548,5.31,8724,14553.54768,4540515462,15020.95231,467.40462,1083
AMBUJACEM,108617,103181,5436,5.27,21918,52220.47665,5054152173,52885.63338,665.15673,431
TMPV,176302,167513,8789,5.25,217579,62655.47736,57895088976,69655.88712,7000.40976,360
LTF,37556,35708,1848,5.18,11970,21498.32137,5587034512,22174.8165,676.49512,278
ADANIPOWER,50151,47844,2307,4.82,34490,44913.61345,23715825374,50013.07095,5099.45749,218
UNITDSPR,56186,53632,2554,4.76,20786,27359.8614,8474364592,28071.90732,712.04592,1302
MPHASIS,31467,30048,1419,4.72,40201,31788.75557,21950832312,34996.37869,3207.62312,2218
PNBHOUSING,24277,23195,1082,4.66,5341,16112.42646,2131452804,16345.8295,233.40304,1063
INFY,420295,402139,18156,4.51,507518,407938.38208,203139208452,433394.3866,25456.00452,1194
BLUESTARCO,24105,23094,1011,4.38,14191,19543.67587,5943806804,20330.35891,786.68304,1680
HDFCBANK,928807,889929,38878,4.37,270038,272724.39859,88996381768,283441.10127,10716.70268,762
SAMMAANCAP,34793,33340,1453,4.36,6162,14628.35662,2374317111,15188.61523,560.25861,138
LODHA,46986,45027,1959,4.35,42834,21934.50795,15125656792,24015.31087,2080.80292,895
DABUR,39019,37411,1608,4.3,18032,19166.601,8768652687,19836.44037,669.83937,451
NMDC,73792,70754,3038,4.29,19627,35577.66037,8649480105,36980.81392,1403.15355,88
APOLLOHOSP,34618,33196,1422,4.28,19731,27760.51383,17543024720,30171.01103,2410.4972,8042
ULTRACEMCO,95626,91858,3768,4.1,46449,30241.44132,23856272405,32145.56537,1904.12405,11355
GRASIM,77985,74952,3033,4.05,21699,34412.33992,12350772387,35345.9138,933.57387,2928
BHARATFORG,28670,27556,1114,4.04,17369,26282.0288,14310700385,27794.43265,1512.40385,1848
ICICIPRULI,35993,34600,1393,4.03,20875,24051.14357,7809884936,25007.49044,956.34686,523
MCX,41782,40165,1617,4.03,66445,115659.62196,129033234318,136425.72765,20766.10568,3417
VMM,10339,9940,399,4.01,3685,3355.26055,1909096091,3794.33396,439.07341,121
SONACOMS,20624,19829,795,4.01,5373,16888.79998,2166637042,17203.54291,314.74292,578
ASHOKLEY,78177,75221,2956,3.93,47673,55105.926,31983829000,59432.591,4326.665,151
TITAN,113547,109270,4277,3.91,57269,33820.98205,39014538491,37148.90446,3327.92241,4095
EICHERMOT,59403,57168,2235,3.91,29536,23038.4574,19082015287,25802.61027,2764.15287,6869
ADANIENT,134909,129836,5073,3.91,140723,149306.58165,106568376905,170842.57971,21535.99805,2712
INDUSTOWER,84750,81712,3038,3.72,53392,74769.58479,32365369148,79288.82127,4519.23648,428
SUPREMEIND,22874,22063,811,3.68,12647,9981.38746,6654301361,10213.66358,232.27611,3440
CIPLA,95552,92206,3346,3.63,57014,54620.57228,25397756017,56563.55746,1942.98517,1409
NTPC,150126,145018,5108,3.52,53623,29568.8922,29216155125,31594.96845,2026.07625,388
HYUNDAI,64758,62563,2195,3.51,16262,33854.59038,4838944583,34280.07621,425.48583,1783
BPCL,64320,62160,2160,3.47,41242,18202.90389,22282221977,21629.68116,3426.77727,286
BAJAJFINSV,87236,84347,2889,3.43,38742,25288.96015,14961396445,26306.9746,1018.01445,1745
HINDUNILVR,109709,106084,3625,3.42,48531,31029.36633,30581691840,33504.10473,2474.7384,2230
CUMMINSIND,27455,26553,902,3.4,13238,22440.27164,11943508244,23733.25408,1292.98244,5254
VEDL,100343,97059,3284,3.38,105402,58550.77938,35249891241,65065.98179,6515.20241,337
ADANIGREEN,76975,74484,2491,3.34,92286,103280.93184,69107227986,121657.9917,18377.05986,1374
MARUTI,143037,138466,4571,3.3,88060,29623.92325,55854899631,34410.06956,4786.14631,12924
M&M,152085,147280,4805,3.26,95624,79774.27352,52837817416,86035.36768,6261.09416,3086
PETRONET,31852,30871,981,3.18,6863,17833.39639,1748663252,18054.15891,220.76252,264
ABCAPITAL,28077,27225,852,3.13,9852,28242.13708,8151249833,29260.50041,1018.36333,350
INDIANB,27136,26314,822,3.12,9473,21010.7768,5852945720,21709.534,698.7572,816
RECLTD,85388,82815,2573,3.11,24925,20063.93956,10288493908,21288.99864,1225.05908,334
IDEA,135757,131673,4084,3.1,119595,248541.49703,94128219313,275850.70791,27309.21088,13
PAGEIND,26470,25676,794,3.09,18849,22041.43592,8089189065,23137.37658,1095.94065,38750
NATIONALUM,55330,53685,1645,3.06,29228,37831.21987,18754880400,40304.02387,2472.804,398
ONGC,90691,88045,2646,3.01,59808,50543.1063,35642891317,53097.36322,2554.25692,296
BIOCON,35584,34576,1008,2.92,23010,36380.3075,21496744700,39667.8795,3287.572,429
SIEMENS,30809,29938,871,2.91,15660,12830.00034,8830301788,14313.24322,1483.24288,3545
TRENT,132659,129006,3653,2.83,78232,23125.02654,30206415853,26447.63507,3322.60853,4073
DIVISLAB,43319,42129,1190,2.82,16811,16612.17062,10097445358,17907.5742,1295.40358,6908
NAUKRI,52948,51534,1414,2.74,16748,13254.2005,4818347572,14069.88873,815.68822,935
CAMS,20961,20405,556,2.72,7563,8422.29825,3679220902,8891.85727,469.55902,777
COALINDIA,110901,107964,2937,2.72,72057,77027.93064,37672662667,81937.55731,4909.62667,456
LAURUSLABS,42842,41717,1125,2.7,26000,33557.57245,26318121804,36835.05549,3277.48304,1345
