symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
DRREDDY,83977,85950,-1973,-2.3,43657,81631.98831,23797759656,84865.20987,3233.22156,1134
IRFC,41829,42860,-1031,-2.41,25577,46952.66378,7853805484,48453.71137,1501.04759,87
COCHINSHIP,30735,31555,-820,-2.6,17599,40809.62476,5851432420,41520.98896,711.3642,1388
APOLLOHOSP,30762,31596,-834,-2.64,13445,42721.56122,10730604436,43472.41808,750.85686,8935
IREDA,29998,30822,-824,-2.67,11127,32789.54596,2891085488,33438.06534,648.51938,120
PATANJALI,52476,54006,-1530,-2.83,51500,85054.80259,11155651905,87463.5079,2408.7053,342
DIVISLAB,74730,77038,-2308,-3,46275,73449.46897,27503751047,76612.27944,3162.81047,7426
HCLTECH,141641,146042,-4401,-3.01,93319,110897.3396,38927578556,118834.60516,7937.26556,1320
PGEL,25487,26306,-819,-3.11,18293,39679.17763,6284427393,40432.68656,753.50893,585
MOTILALOFS,19209,19833,-624,-3.15,9121,20117.61259,4253233766,20755.23276,637.62016,853
KAYNES,38001,39252,-1251,-3.19,28121,59353.51972,7859679486,60723.26458,1369.74486,3250
SRF,55564,57423,-1859,-3.24,33484,47022.1322,13626318058,48901.59278,1879.46058,2640
LICI,31819,32898,-1079,-3.28,12453,39848.93304,3530102450,40306.02254,457.0895,427
CDSL,48740,50406,-1666,-3.31,40473,97647.90602,16586801103,100283.59205,2635.68603,1348
HEROMOTOCO,63749,66016,-2267,-3.43,51921,84874.94014,31814611272,88434.22786,3559.28772,5160
NHPC,36969,38298,-1329,-3.47,13241,32388.69093,4094154719,32887.35413,498.66319,78
BANDHANBNK,81284,84331,-3047,-3.61,36882,69381.96048,16929696780,74097.99828,4716.0378,168
HAL,70731,73397,-2666,-3.63,76897,108159.9763,42557898094,113134.53225,4974.55594,4595
JUBLFOOD,31020,32230,-1210,-3.75,14410,37342.17725,4174017487,38196.03962,853.86237,431
AMBER,38923,40484,-1561,-3.86,48247,72083.52843,28363342741,75242.05584,3158.52741,7220
PERSISTENT,67824,70644,-2820,-3.99,99907,88160.00503,59836862143,100766.56397,12606.55893,5437
BAJAJHLDNG,6925,7251,-326,-4.5,6494,7705.82369,4469210350,7770.75219,64.9285,10780
TORNTPHARM,49734,52106,-2372,-4.55,30314,62108.00315,12612009718,63171.66283,1063.65968,4892
BDL,39027,41069,-2042,-4.97,29288,68950.69134,9135188110,71015.68244,2064.9911,1266
SONACOMS,25401,26772,-1371,-5.12,14277,54094.32995,7080231896,54894.63642,800.30646,712
ASTRAL,29527,31128,-1601,-5.14,14074,34151.06455,5377953480,34851.58435,700.5198,1466
POWERINDIA,44748,47340,-2592,-5.48,67103,91461.27961,44070378166,95644.81127,4183.53166,31125
KALYANKJIL,76507,81034,-4527,-5.59,114614,169546.19004,74825122707,191089.91961,21543.72957,608
SOLARINDS,27498,29142,-1644,-5.64,21648,58603.23835,14168155412,59794.16747,1190.92912,18243
KEI,18755,19887,-1132,-5.69,8890,26713.29032,5096600365,27259.25648,545.96615,4840
BLUESTARCO,18819,20005,-1186,-5.93,15499,22013.16451,6135028880,22360.23832,347.0738,1640
PAYTM,74267,78995,-4728,-5.99,70789,157636.70157,52944243588,165168.89245,7532.19088,1310
TRENT,102176,109264,-7088,-6.49,40111,71611.1939,19797332690,73828.4422,2217.2483,2930
SBICARD,51026,54599,-3573,-6.54,44551,67709.5568,16930899408,70522.95088,2813.39408,656
NESTLEIND,47561,50928,-3367,-6.61,64632,98686.99015,38617670510,102951.44525,4264.4551,1492
WIPRO,155336,167370,-12034,-7.19,98506,183147.1824,36011738700,190106.5194,6959.337,181
