symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
BANDHANBNK,43193,42573,620,1.46,10509,21933.35424,5878656828,23493.06252,1559.70828,205
GLENMARK,51032,50302,730,1.45,8167,14974.24575,5492021962,16150.21537,1175.96962,2165
SAMMAANCAP,29303,28887,416,1.44,19281,36198.60615,12426607324,40539.82939,4341.22324,184
AUBANK,36518,36003,515,1.43,11780,31623.4006,8635649890,33448.3995,1824.9989,969
ONGC,77554,76478,1076,1.41,17567,12878.6769,9791089402,14151.39592,1272.71902,264
ABB,32104,31661,443,1.4,13595,19093.32986,10270497448,20843.49185,1750.16198,7160
DRREDDY,41667,41098,569,1.38,11621,10432.42981,8539476575,11691.63306,1259.20325,1283
IREDA,37863,37351,512,1.37,7411,8107.91546,2561875866,8533.26062,425.34516,123
GMRAIRPORT,36996,36499,497,1.36,16078,31344.82067,8771495438,33426.30505,2081.48438,101
INDUSTOWER,81586,80498,1088,1.35,15112,23745.51755,9118394363,25680.14118,1934.62363,429
INDHOTEL,32630,32204,426,1.32,5638,11297.2662,2665043310,11741.6493,444.3831,656
CROMPTON,37012,36554,458,1.25,9251,17106.20042,2966681478,17760.8402,654.63978,268
ADANIPOWER,47925,47348,577,1.22,22973,49951.92291,15008230452,54855.64618,4903.72327,232
ASHOKLEY,89738,88670,1068,1.2,25974,30590.763,16993419550,34254.7085,3663.9455,145
CGPOWER,36601,36175,426,1.18,21768,34955.68543,14340116105,38466.82148,3511.13605,938
NMDC,77692,76792,900,1.17,33480,34577.10247,18327800475,38470.88722,3893.78475,92
APOLLOHOSP,31636,31279,357,1.14,17217,15470.36626,16742181665,17786.05791,2315.69165,8314
TITAN,72359,71547,812,1.13,67818,49626.15803,46534452672,56434.98476,6808.82672,4268
VBL,58742,58090,652,1.12,14905,23047.71584,6851547765,24249.45599,1201.74015,521
BIOCON,26560,26266,294,1.12,10386,21036.8145,9191491350,22784.853,1748.0385,413
POLICYBZR,36107,35725,382,1.07,25128,28309.54626,11735089856,30559.23482,2249.68856,1540
SRF,22716,22476,240,1.07,4503,6083.73264,1916397976,6426.9924,343.25976,2702
PIDILITIND,16608,16439,169,1.03,6172,6660.24675,4117706210,6994.40885,334.1621,1473
RECLTD,74874,74146,728,0.98,69723,55292.5244,29263598726,60967.49291,5674.96851,343
MANKIND,20228,20034,194,0.97,3815,4561.34412,1698211128,4828.3754,267.03128,2332
GODREJCP,32058,31761,297,0.94,4261,7487.0215,1399932995,7685.50145,198.47995,995
PAYTM,40631,40260,371,0.92,11087,21721.25425,6790377883,23407.44809,1686.19383,1066
NYKAA,28086,27830,256,0.92,6656,9305.81812,4923954750,9999.19375,693.37562,262
